geography_level,geography_id,variable,method,statistic,p_value,significant,cluster_type
UPZ,35,deficit_aseo_relativo,Moran Local (LISA),0.7301,0.031,True,Low-Low
UPZ,38,deficit_aseo_relativo,Moran Local (LISA),0.6708,0.034,True,Low-Low
UPZ,115,deficit_aseo_relativo,Moran Local (LISA),-0.0022,0.16,False,No significativo
UPZ,50,deficit_aseo_relativo,Moran Local (LISA),0.7713,0.021,True,High-High
UPZ,20,deficit_aseo_relativo,Moran Local (LISA),1.612,0.017,True,Low-Low
UPZ,79,deficit_aseo_relativo,Moran Local (LISA),0.117,0.338,False,No significativo
UPZ,61,deficit_aseo_relativo,Moran Local (LISA),1.0573,0.026,True,High-High
UPZ,12,deficit_aseo_relativo,Moran Local (LISA),0.3241,0.317,False,No significativo
UPZ,10,deficit_aseo_relativo,Moran Local (LISA),-0.3553,0.119,False,No significativo
UPZ,59,deficit_aseo_relativo,Moran Local (LISA),0.4372,0.128,False,No significativo
UPZ,58,deficit_aseo_relativo,Moran Local (LISA),0.6949,0.013,True,High-High
UPZ,43,deficit_aseo_relativo,Moran Local (LISA),-0.1205,0.229,False,No significativo
UPZ,47,deficit_aseo_relativo,Moran Local (LISA),0.1057,0.38,False,No significativo
UPZ,36,deficit_aseo_relativo,Moran Local (LISA),0.4997,0.095,False,No significativo
UPZ,66,deficit_aseo_relativo,Moran Local (LISA),0.5318,0.037,True,High-High
UPZ,57,deficit_aseo_relativo,Moran Local (LISA),0.1049,0.001,True,High-High
UPZ,52,deficit_aseo_relativo,Moran Local (LISA),1.2532,0.017,True,High-High
UPZ,11,deficit_aseo_relativo,Moran Local (LISA),-0.3308,0.204,False,No significativo
UPZ,14,deficit_aseo_relativo,Moran Local (LISA),-0.2283,0.131,False,No significativo
UPZ,73,deficit_aseo_relativo,Moran Local (LISA),0.0178,0.431,False,No significativo
UPZ,74,deficit_aseo_relativo,Moran Local (LISA),0.1502,0.424,False,No significativo
UPZ,104,deficit_aseo_relativo,Moran Local (LISA),0.3164,0.001,True,Low-Low
UPZ,31,deficit_aseo_relativo,Moran Local (LISA),0.2211,0.098,False,No significativo
UPZ,68,deficit_aseo_relativo,Moran Local (LISA),1.217,0.014,True,High-High
UPZ,64,deficit_aseo_relativo,Moran Local (LISA),1.513,0.006,True,High-High
UPZ,71,deficit_aseo_relativo,Moran Local (LISA),0.2989,0.218,False,No significativo
UPZ,29,deficit_aseo_relativo,Moran Local (LISA),0.0266,0.426,False,No significativo
UPZ,76,deficit_aseo_relativo,Moran Local (LISA),0.9082,0.071,False,No significativo
UPZ,3,deficit_aseo_relativo,Moran Local (LISA),1.709,0.007,True,High-High
UPZ,80,deficit_aseo_relativo,Moran Local (LISA),-0.641,0.127,False,No significativo
UPZ,67,deficit_aseo_relativo,Moran Local (LISA),1.1128,0.009,True,High-High
UPZ,63,deficit_aseo_relativo,Moran Local (LISA),1.1113,0.007,True,High-High
UPZ,28,deficit_aseo_relativo,Moran Local (LISA),-0.0296,0.355,False,No significativo
UPZ,30,deficit_aseo_relativo,Moran Local (LISA),0.0817,0.268,False,No significativo
UPZ,116,deficit_aseo_relativo,Moran Local (LISA),-0.0403,0.396,False,No significativo
UPZ,85,deficit_aseo_relativo,Moran Local (LISA),0.1404,0.273,False,No significativo
UPZ,42,deficit_aseo_relativo,Moran Local (LISA),0.0498,0.402,False,No significativo
UPZ,111,deficit_aseo_relativo,Moran Local (LISA),-0.1289,0.044,True,High-Low
UPZ,44,deficit_aseo_relativo,Moran Local (LISA),0.0968,0.066,False,No significativo
UPZ,41,deficit_aseo_relativo,Moran Local (LISA),0.1984,0.317,False,No significativo
UPZ,40,deficit_aseo_relativo,Moran Local (LISA),0.4034,0.042,True,Low-Low
UPZ,34,deficit_aseo_relativo,Moran Local (LISA),-0.0119,0.483,False,No significativo
UPZ,84,deficit_aseo_relativo,Moran Local (LISA),0.1585,0.32,False,No significativo
UPZ,32,deficit_aseo_relativo,Moran Local (LISA),0.424,0.232,False,No significativo
UPZ,95,deficit_aseo_relativo,Moran Local (LISA),-0.4377,0.099,False,No significativo
UPZ,87,deficit_aseo_relativo,Moran Local (LISA),0.6174,0.187,False,No significativo
UPZ,117,deficit_aseo_relativo,Moran Local (LISA),0.5339,0.186,False,No significativo
UPZ,77,deficit_aseo_relativo,Moran Local (LISA),0.4899,0.109,False,No significativo
UPZ,54,deficit_aseo_relativo,Moran Local (LISA),0.3281,0.005,True,High-High
UPZ,39,deficit_aseo_relativo,Moran Local (LISA),0.0954,0.219,False,No significativo
UPZ,62,deficit_aseo_relativo,Moran Local (LISA),0.7905,0.029,True,High-High
UPZ,53,deficit_aseo_relativo,Moran Local (LISA),0.0322,0.483,False,No significativo
UPZ,69,deficit_aseo_relativo,Moran Local (LISA),0.0045,0.234,False,No significativo
UPZ,1,deficit_aseo_relativo,Moran Local (LISA),1.1797,0.035,True,High-High
UPZ,46,deficit_aseo_relativo,Moran Local (LISA),-0.1643,0.355,False,No significativo
UPZ,112,deficit_aseo_relativo,Moran Local (LISA),-0.0081,0.134,False,No significativo
UPZ,25,deficit_aseo_relativo,Moran Local (LISA),0.4336,0.048,True,Low-Low
UPZ,97,deficit_aseo_relativo,Moran Local (LISA),1.9965,0.013,True,Low-Low
UPZ,98,deficit_aseo_relativo,Moran Local (LISA),0.9247,0.003,True,Low-Low
UPZ,96,deficit_aseo_relativo,Moran Local (LISA),1.0066,0.025,True,High-High
UPZ,92,deficit_aseo_relativo,Moran Local (LISA),-0.1187,0.357,False,No significativo
UPZ,94,deficit_aseo_relativo,Moran Local (LISA),0.1901,0.113,False,No significativo
UPZ,78,deficit_aseo_relativo,Moran Local (LISA),0.0442,0.491,False,No significativo
UPZ,9,deficit_aseo_relativo,Moran Local (LISA),0.1279,0.037,True,High-High
UPZ,113,deficit_aseo_relativo,Moran Local (LISA),-0.0026,0.383,False,No significativo
UPZ,81,deficit_aseo_relativo,Moran Local (LISA),-0.0515,0.414,False,No significativo
UPZ,75,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1311,0.364,False,No significativo
