geography_level,geography_id,variable,method,statistic,p_value,significant,cluster_type
UPZ,66,densidad_incidentes_km2,Moran Local (LISA),-0.56,0.047,True,High-Low
UPZ,57,densidad_incidentes_km2,Moran Local (LISA),0.1984,0.043,True,Low-Low
UPZ,52,densidad_incidentes_km2,Moran Local (LISA),-0.1223,0.044,True,High-Low
UPZ,11,densidad_incidentes_km2,Moran Local (LISA),0.1727,0.313,False,No significativo
UPZ,14,densidad_incidentes_km2,Moran Local (LISA),-0.0557,0.376,False,No significativo
UPZ,73,densidad_incidentes_km2,Moran Local (LISA),0.0083,0.476,False,No significativo
UPZ,74,densidad_incidentes_km2,Moran Local (LISA),0.0691,0.044,True,Low-Low
UPZ,104,densidad_incidentes_km2,Moran Local (LISA),-0.4695,0.075,False,No significativo
UPZ,31,densidad_incidentes_km2,Moran Local (LISA),-0.069,0.185,False,No significativo
UPZ,68,densidad_incidentes_km2,Moran Local (LISA),-0.5234,0.229,False,No significativo
UPZ,64,densidad_incidentes_km2,Moran Local (LISA),1.1325,0.034,True,Low-Low
UPZ,71,densidad_incidentes_km2,Moran Local (LISA),0.0828,0.495,False,No significativo
UPZ,29,densidad_incidentes_km2,Moran Local (LISA),-0.1552,0.399,False,No significativo
UPZ,76,densidad_incidentes_km2,Moran Local (LISA),-0.2807,0.068,False,No significativo
UPZ,3,densidad_incidentes_km2,Moran Local (LISA),1.7829,0.002,True,Low-Low
UPZ,80,densidad_incidentes_km2,Moran Local (LISA),0.0006,0.438,False,No significativo
UPZ,67,densidad_incidentes_km2,Moran Local (LISA),0.0148,0.489,False,No significativo
UPZ,63,densidad_incidentes_km2,Moran Local (LISA),0.3367,0.11,False,No significativo
UPZ,28,densidad_incidentes_km2,Moran Local (LISA),0.0263,0.343,False,No significativo
UPZ,30,densidad_incidentes_km2,Moran Local (LISA),0.0001,0.469,False,No significativo
UPZ,116,densidad_incidentes_km2,Moran Local (LISA),0.2489,0.22,False,No significativo
UPZ,85,densidad_incidentes_km2,Moran Local (LISA),0.0301,0.172,False,No significativo
UPZ,42,densidad_incidentes_km2,Moran Local (LISA),0.0405,0.459,False,No significativo
UPZ,111,densidad_incidentes_km2,Moran Local (LISA),0.0064,0.463,False,No significativo
UPZ,44,densidad_incidentes_km2,Moran Local (LISA),-0.0034,0.439,False,No significativo
UPZ,41,densidad_incidentes_km2,Moran Local (LISA),-0.0106,0.401,False,No significativo
UPZ,40,densidad_incidentes_km2,Moran Local (LISA),-0.0236,0.333,False,No significativo
UPZ,34,densidad_incidentes_km2,Moran Local (LISA),0.0782,0.29,False,No significativo
UPZ,84,densidad_incidentes_km2,Moran Local (LISA),0.0368,0.456,False,No significativo
UPZ,32,densidad_incidentes_km2,Moran Local (LISA),-0.0151,0.024,True,Low-High
UPZ,95,densidad_incidentes_km2,Moran Local (LISA),3.333,0.016,True,High-High
UPZ,87,densidad_incidentes_km2,Moran Local (LISA),0.1146,0.477,False,No significativo
UPZ,117,densidad_incidentes_km2,Moran Local (LISA),0.1579,0.448,False,No significativo
UPZ,77,densidad_incidentes_km2,Moran Local (LISA),0.108,0.451,False,No significativo
UPZ,54,densidad_incidentes_km2,Moran Local (LISA),0.3244,0.019,True,Low-Low
UPZ,39,densidad_incidentes_km2,Moran Local (LISA),0.0481,0.367,False,No significativo
UPZ,62,densidad_incidentes_km2,Moran Local (LISA),0.3455,0.111,False,No significativo
UPZ,53,densidad_incidentes_km2,Moran Local (LISA),0.0382,0.397,False,No significativo
UPZ,69,densidad_incidentes_km2,Moran Local (LISA),0.1463,0.248,False,No significativo
UPZ,1,densidad_incidentes_km2,Moran Local (LISA),1.531,0.002,True,Low-Low
UPZ,46,densidad_incidentes_km2,Moran Local (LISA),0.0902,0.121,False,No significativo
UPZ,112,densidad_incidentes_km2,Moran Local (LISA),0.0118,0.073,False,No significativo
UPZ,25,densidad_incidentes_km2,Moran Local (LISA),0.0029,0.466,False,No significativo
UPZ,97,densidad_incidentes_km2,Moran Local (LISA),0.2173,0.115,False,No significativo
UPZ,98,densidad_incidentes_km2,Moran Local (LISA),0.6381,0.003,True,High-High
UPZ,96,densidad_incidentes_km2,Moran Local (LISA),-0.8509,0.001,True,Low-High
UPZ,92,densidad_incidentes_km2,Moran Local (LISA),2.1928,0.032,True,High-High
UPZ,94,densidad_incidentes_km2,Moran Local (LISA),3.9224,0.003,True,High-High
UPZ,78,densidad_incidentes_km2,Moran Local (LISA),0.6369,0.062,False,No significativo
UPZ,9,densidad_incidentes_km2,Moran Local (LISA),0.6154,0.013,True,Low-Low
UPZ,113,densidad_incidentes_km2,Moran Local (LISA),0.0303,0.462,False,No significativo
UPZ,81,densidad_incidentes_km2,Moran Local (LISA),-0.0012,0.454,False,No significativo
UPZ,75,densidad_cuadrantes_km2,Moran Local (LISA),0.5082,0.003,True,Low-Low
UPZ,22,densidad_cuadrantes_km2,Moran Local (LISA),-0.0123,0.469,False,No significativo
UPZ,114,densidad_cuadrantes_km2,Moran Local (LISA),0.37,0.143,False,No significativo
UPZ,103,densidad_cuadrantes_km2,Moran Local (LISA),-0.0783,0.367,False,No significativo
UPZ,105,densidad_cuadrantes_km2,Moran Local (LISA),0.0331,0.362,False,No significativo
UPZ,88,densidad_cuadrantes_km2,Moran Local (LISA),0.0662,0.303,False,No significativo
UPZ,27,densidad_cuadrantes_km2,Moran Local (LISA),0.1909,0.236,False,No significativo
UPZ,99,densidad_cuadrantes_km2,Moran Local (LISA),2.3748,0.057,False,No significativo
UPZ,109,densidad_cuadrantes_km2,Moran Local (LISA),-0.0268,0.183,False,No significativo
UPZ,90,densidad_cuadrantes_km2,Moran Local (LISA),0.818,0.008,True,High-High
UPZ,33,densidad_cuadrantes_km2,Moran Local (LISA),0.7806,0.025,True,High-High
UPZ,102,densidad_cuadrantes_km2,Moran Local (LISA),0.3939,0.003,True,High-High
UPZ,45,densidad_cuadrantes_km2,Moran Local (LISA),-0.0004,0.429,False,No significativo
UPZ,93,densidad_cuadrantes_km2,Moran Local (LISA),9.0308,0.001,True,High-High
UPZ,72,densidad_cuadrantes_km2,Moran Local (LISA),0.2574,0.229,False,No significativo
UPZ,15,densidad_cuadrantes_km2,Moran Local (LISA),0.1396,0.069,False,No significativo
UPZ,16,densidad_cuadrantes_km2,Moran Local (LISA),0.1176,0.185,False,No significativo
UPZ,21,densidad_cuadrantes_km2,Moran Local (LISA),0.0864,0.387,False,No significativo
UPZ,89,densidad_cuadrantes_km2,Moran Local (LISA),-0.0,0.001,True,Low-Low
UPZ,106,densidad_cuadrantes_km2,Moran Local (LISA),-0.0218,0.388,False,No significativo
UPZ,86,densidad_cuadrantes_km2,Moran Local (LISA),-0.0434,0.297,False,No significativo
UPZ,82,densidad_cuadrantes_km2,Moran Local (LISA),0.9145,0.075,False,No significativo
UPZ,37,densidad_cuadrantes_km2,Moran Local (LISA),0.2258,0.036,True,High-High
UPZ,49,densidad_cuadrantes_km2,Moran Local (LISA),-0.0347,0.477,False,No significativo
UPZ,19,densidad_cuadrantes_km2,Moran Local (LISA),0.2345,0.064,False,No significativo
UPZ,24,densidad_cuadrantes_km2,Moran Local (LISA),0.3353,0.127,False,No significativo
UPZ,23,densidad_cuadrantes_km2,Moran Local (LISA),0.4181,0.029,True,Low-Low
UPZ,110,densidad_cuadrantes_km2,Moran Local (LISA),0.1145,0.051,False,No significativo
UPZ,100,densidad_cuadrantes_km2,Moran Local (LISA),0.2503,0.099,False,No significativo
UPZ,83,densidad_cuadrantes_km2,Moran Local (LISA),0.3793,0.057,False,No significativo
UPZ,107,densidad_cuadrantes_km2,Moran Local (LISA),-0.0199,0.425,False,No significativo
UPZ,101,densidad_cuadrantes_km2,Moran Local (LISA),0.7477,0.005,True,High-High
UPZ,91,densidad_cuadrantes_km2,Moran Local (LISA),3.9126,0.001,True,High-High
UPZ,108,densidad_cuadrantes_km2,Moran Local (LISA),-0.0111,0.422,False,No significativo
UPZ,55,densidad_cuadrantes_km2,Moran Local (LISA),-0.0603,0.439,False,No significativo
UPZ,51,densidad_cuadrantes_km2,Moran Local (LISA),-0.0105,0.391,False,No significativo
UPZ,60,densidad_cuadrantes_km2,Moran Local (LISA),-0.0064,0.298,False,No significativo
UPZ,56,densidad_cuadrantes_km2,Moran Local (LISA),0.0814,0.346,False,No significativo
UPZ,65,densidad_cuadrantes_km2,Moran Local (LISA),-0.0065,0.462,False,No significativo
UPZ,2,densidad_cuadrantes_km2,Moran Local (LISA),1.2042,0.001,True,Low-Low
UPZ,17,densidad_cuadrantes_km2,Moran Local (LISA),0.458,0.055,False,No significativo
UPZ,18,densidad_cuadrantes_km2,Moran Local (LISA),0.2573,0.084,False,No significativo
UPZ,26,densidad_cuadrantes_km2,Moran Local (LISA),0.0822,0.212,False,No significativo
UPZ,48,densidad_cuadrantes_km2,Moran Local (LISA),-0.0386,0.162,False,No significativo
UPZ,13,densidad_cuadrantes_km2,Moran Local (LISA),0.2047,0.153,False,No significativo
UPZ,70,densidad_cuadrantes_km2,Moran Local (LISA),-0.1267,0.261,False,No significativo
UPZ,35,densidad_cuadrantes_km2,Moran Local (LISA),1.155,0.025,True,High-High
UPZ,38,densidad_cuadrantes_km2,Moran Local (LISA),0.4213,0.057,False,No significativo
UPZ,115,densidad_cuadrantes_km2,Moran Local (LISA),0.4072,0.026,True,Low-Low
UPZ,50,densidad_cuadrantes_km2,Moran Local (LISA),0.0119,0.379,False,No significativo
UPZ,20,densidad_cuadrantes_km2,Moran Local (LISA),0.1977,0.194,False,No significativo
UPZ,79,densidad_cuadrantes_km2,Moran Local (LISA),-0.0662,0.308,False,No significativo
UPZ,61,densidad_cuadrantes_km2,Moran Local (LISA),0.6433,0.027,True,Low-Low
UPZ,12,densidad_cuadrantes_km2,Moran Local (LISA),-0.0496,0.051,False,No significativo
UPZ,10,densidad_cuadrantes_km2,Moran Local (LISA),0.1893,0.179,False,No significativo
UPZ,59,densidad_cuadrantes_km2,Moran Local (LISA),0.2474,0.052,False,No significativo
UPZ,58,densidad_cuadrantes_km2,Moran Local (LISA),0.4461,0.015,True,Low-Low
UPZ,43,densidad_cuadrantes_km2,Moran Local (LISA),0.0831,0.257,False,No significativo
UPZ,47,densidad_cuadrantes_km2,Moran Local (LISA),0.1643,0.096,False,No significativo
UPZ,36,densidad_cuadrantes_km2,Moran Local (LISA),-0.0848,0.077,False,No significativo
UPZ,66,densidad_cuadrantes_km2,Moran Local (LISA),-0.2673,0.419,False,No significativo
UPZ,57,densidad_cuadrantes_km2,Moran Local (LISA),0.2433,0.066,False,No significativo
UPZ,52,densidad_cuadrantes_km2,Moran Local (LISA),0.2748,0.137,False,No significativo
UPZ,11,densidad_cuadrantes_km2,Moran Local (LISA),0.1038,0.351,False,No significativo
UPZ,14,densidad_cuadrantes_km2,Moran Local (LISA),0.0038,0.415,False,No significativo
UPZ,73,densidad_cuadrantes_km2,Moran Local (LISA),0.4694,0.068,False,No significativo
UPZ,74,densidad_cuadrantes_km2,Moran Local (LISA),0.6642,0.04,True,Low-Low
UPZ,104,densidad_cuadrantes_km2,Moran Local (LISA),-0.0273,0.388,False,No significativo
UPZ,31,densidad_cuadrantes_km2,Moran Local (LISA),0.1666,0.174,False,No significativo
UPZ,68,densidad_cuadrantes_km2,Moran Local (LISA),-0.05,0.442,False,No significativo
UPZ,64,densidad_cuadrantes_km2,Moran Local (LISA),0.8418,0.044,True,Low-Low
UPZ,71,densidad_cuadrantes_km2,Moran Local (LISA),0.0497,0.273,False,No significativo
UPZ,29,densidad_cuadrantes_km2,Moran Local (LISA),0.1542,0.105,False,No significativo
UPZ,76,densidad_cuadrantes_km2,Moran Local (LISA),0.8283,0.01,True,Low-Low
UPZ,3,densidad_cuadrantes_km2,Moran Local (LISA),1.6391,0.001,True,Low-Low
UPZ,80,densidad_cuadrantes_km2,Moran Local (LISA),1.6299,0.084,False,No significativo
UPZ,67,densidad_cuadrantes_km2,Moran Local (LISA),-0.0005,0.396,False,No significativo
UPZ,63,densidad_cuadrantes_km2,Moran Local (LISA),0.2089,0.088,False,No significativo
UPZ,28,densidad_cuadrantes_km2,Moran Local (LISA),-0.049,0.084,False,No significativo
UPZ,30,densidad_cuadrantes_km2,Moran Local (LISA),0.2378,0.071,False,No significativo
UPZ,116,densidad_cuadrantes_km2,Moran Local (LISA),0.1927,0.004,True,Low-Low
UPZ,85,densidad_cuadrantes_km2,Moran Local (LISA),-0.0247,0.25,False,No significativo
UPZ,42,densidad_cuadrantes_km2,Moran Local (LISA),-0.082,0.206,False,No significativo
UPZ,111,densidad_cuadrantes_km2,Moran Local (LISA),0.1701,0.201,False,No significativo
UPZ,44,densidad_cuadrantes_km2,Moran Local (LISA),0.0166,0.372,False,No significativo
UPZ,41,densidad_cuadrantes_km2,Moran Local (LISA),-0.0202,0.468,False,No significativo
UPZ,40,densidad_cuadrantes_km2,Moran Local (LISA),-0.0185,0.378,False,No significativo
UPZ,34,densidad_cuadrantes_km2,Moran Local (LISA),0.2207,0.154,False,No significativo
UPZ,84,densidad_cuadrantes_km2,Moran Local (LISA),0.1251,0.294,False,No significativo
UPZ,32,densidad_cuadrantes_km2,Moran Local (LISA),-0.3268,0.014,True,Low-High
UPZ,95,densidad_cuadrantes_km2,Moran Local (LISA),4.6192,0.001,True,High-High
UPZ,87,densidad_cuadrantes_km2,Moran Local (LISA),-0.1402,0.305,False,No significativo
UPZ,117,densidad_cuadrantes_km2,Moran Local (LISA),0.7433,0.018,True,Low-Low
UPZ,77,densidad_cuadrantes_km2,Moran Local (LISA),0.7507,0.027,True,Low-Low
UPZ,54,densidad_cuadrantes_km2,Moran Local (LISA),0.0021,0.453,False,No significativo
UPZ,39,densidad_cuadrantes_km2,Moran Local (LISA),-0.0002,0.165,False,No significativo
UPZ,62,densidad_cuadrantes_km2,Moran Local (LISA),-0.0034,0.438,False,No significativo
UPZ,53,densidad_cuadrantes_km2,Moran Local (LISA),0.0076,0.4,False,No significativo
UPZ,69,densidad_cuadrantes_km2,Moran Local (LISA),0.0019,0.419,False,No significativo
UPZ,1,densidad_cuadrantes_km2,Moran Local (LISA),1.1704,0.002,True,Low-Low
UPZ,46,densidad_cuadrantes_km2,Moran Local (LISA),-0.0378,0.275,False,No significativo
UPZ,112,densidad_cuadrantes_km2,Moran Local (LISA),0.3498,0.014,True,Low-Low
UPZ,25,densidad_cuadrantes_km2,Moran Local (LISA),0.138,0.105,False,No significativo
UPZ,97,densidad_cuadrantes_km2,Moran Local (LISA),0.1691,0.194,False,No significativo
UPZ,98,densidad_cuadrantes_km2,Moran Local (LISA),-0.0716,0.074,False,No significativo
UPZ,96,densidad_cuadrantes_km2,Moran Local (LISA),2.8529,0.004,True,High-High
UPZ,92,densidad_cuadrantes_km2,Moran Local (LISA),6.9519,0.001,True,High-High
UPZ,94,densidad_cuadrantes_km2,Moran Local (LISA),8.0117,0.001,True,High-High
UPZ,78,densidad_cuadrantes_km2,Moran Local (LISA),0.4136,0.051,False,No significativo
UPZ,9,densidad_cuadrantes_km2,Moran Local (LISA),0.3772,0.001,True,Low-Low
UPZ,113,densidad_cuadrantes_km2,Moran Local (LISA),0.181,0.187,False,No significativo
UPZ,81,densidad_cuadrantes_km2,Moran Local (LISA),1.1547,0.048,True,High-High
UPZ,75,estrato_promedio_oficial,Moran Local (LISA),-0.0042,0.486,False,No significativo
UPZ,22,estrato_promedio_oficial,Moran Local (LISA),0.1668,0.23,False,No significativo
UPZ,114,estrato_promedio_oficial,Moran Local (LISA),0.6335,0.121,False,No significativo
UPZ,103,estrato_promedio_oficial,Moran Local (LISA),0.1029,0.065,False,No significativo
UPZ,105,estrato_promedio_oficial,Moran Local (LISA),-0.0369,0.044,True,Low-High
UPZ,88,estrato_promedio_oficial,Moran Local (LISA),3.7042,0.013,True,High-High
UPZ,27,estrato_promedio_oficial,Moran Local (LISA),-0.0557,0.285,False,No significativo
UPZ,99,estrato_promedio_oficial,Moran Local (LISA),0.5499,0.027,True,High-High
UPZ,109,estrato_promedio_oficial,Moran Local (LISA),0.7912,0.062,False,No significativo
UPZ,90,estrato_promedio_oficial,Moran Local (LISA),0.0131,0.001,True,High-High
UPZ,33,estrato_promedio_oficial,Moran Local (LISA),-0.0067,0.189,False,No significativo
UPZ,102,estrato_promedio_oficial,Moran Local (LISA),0.0109,0.204,False,No significativo
UPZ,45,estrato_promedio_oficial,Moran Local (LISA),0.0083,0.412,False,No significativo
UPZ,93,estrato_promedio_oficial,Moran Local (LISA),0.0008,0.473,False,No significativo
UPZ,72,estrato_promedio_oficial,Moran Local (LISA),-0.0435,0.298,False,No significativo
UPZ,15,estrato_promedio_oficial,Moran Local (LISA),4.0666,0.001,True,High-High
UPZ,16,estrato_promedio_oficial,Moran Local (LISA),4.4053,0.001,True,High-High
UPZ,21,estrato_promedio_oficial,Moran Local (LISA),1.0804,0.001,True,High-High
UPZ,89,estrato_promedio_oficial,Moran Local (LISA),-0.0,0.001,True,Low-Low
UPZ,106,estrato_promedio_oficial,Moran Local (LISA),0.7802,0.126,False,No significativo
UPZ,86,estrato_promedio_oficial,Moran Local (LISA),1.0892,0.048,True,Low-Low
UPZ,82,estrato_promedio_oficial,Moran Local (LISA),0.4924,0.071,False,No significativo
UPZ,37,estrato_promedio_oficial,Moran Local (LISA),-0.0061,0.496,False,No significativo
UPZ,49,estrato_promedio_oficial,Moran Local (LISA),0.2169,0.096,False,No significativo
UPZ,19,estrato_promedio_oficial,Moran Local (LISA),0.7539,0.001,True,High-High
UPZ,24,estrato_promedio_oficial,Moran Local (LISA),1.0074,0.073,False,No significativo
UPZ,23,estrato_promedio_oficial,Moran Local (LISA),0.4428,0.068,False,No significativo
UPZ,110,estrato_promedio_oficial,Moran Local (LISA),0.6958,0.037,True,High-High
UPZ,100,estrato_promedio_oficial,Moran Local (LISA),0.5819,0.035,True,High-High
UPZ,83,estrato_promedio_oficial,Moran Local (LISA),0.6604,0.021,True,Low-Low
UPZ,107,estrato_promedio_oficial,Moran Local (LISA),0.5946,0.069,False,No significativo
UPZ,101,estrato_promedio_oficial,Moran Local (LISA),0.5375,0.05,False,No significativo
UPZ,91,estrato_promedio_oficial,Moran Local (LISA),0.1201,0.253,False,No significativo
UPZ,108,estrato_promedio_oficial,Moran Local (LISA),0.0445,0.141,False,No significativo
UPZ,55,estrato_promedio_oficial,Moran Local (LISA),1.2422,0.001,True,Low-Low
UPZ,51,estrato_promedio_oficial,Moran Local (LISA),1.1164,0.001,True,Low-Low
UPZ,60,estrato_promedio_oficial,Moran Local (LISA),1.7113,0.001,True,Low-Low
UPZ,56,estrato_promedio_oficial,Moran Local (LISA),1.406,0.001,True,Low-Low
UPZ,65,estrato_promedio_oficial,Moran Local (LISA),0.3037,0.014,True,Low-Low
UPZ,2,estrato_promedio_oficial,Moran Local (LISA),2.3018,0.027,True,High-High
UPZ,17,estrato_promedio_oficial,Moran Local (LISA),0.6245,0.065,False,No significativo
UPZ,18,estrato_promedio_oficial,Moran Local (LISA),0.1982,0.044,True,High-High
UPZ,26,estrato_promedio_oficial,Moran Local (LISA),0.0858,0.071,False,No significativo
UPZ,48,estrato_promedio_oficial,Moran Local (LISA),0.0589,0.187,False,No significativo
UPZ,13,estrato_promedio_oficial,Moran Local (LISA),1.185,0.02,True,High-High
UPZ,70,estrato_promedio_oficial,Moran Local (LISA),1.6838,0.011,True,Low-Low
UPZ,35,estrato_promedio_oficial,Moran Local (LISA),-0.0017,0.442,False,No significativo
UPZ,38,estrato_promedio_oficial,Moran Local (LISA),-0.0054,0.492,False,No significativo
UPZ,115,estrato_promedio_oficial,Moran Local (LISA),0.1552,0.073,False,No significativo
UPZ,50,estrato_promedio_oficial,Moran Local (LISA),0.7008,0.003,True,Low-Low
UPZ,20,estrato_promedio_oficial,Moran Local (LISA),3.3153,0.001,True,High-High
UPZ,79,estrato_promedio_oficial,Moran Local (LISA),0.4379,0.136,False,No significativo
UPZ,61,estrato_promedio_oficial,Moran Local (LISA),1.9,0.001,True,Low-Low
UPZ,12,estrato_promedio_oficial,Moran Local (LISA),0.2399,0.103,False,No significativo
UPZ,10,estrato_promedio_oficial,Moran Local (LISA),0.0409,0.3,False,No significativo
UPZ,59,estrato_promedio_oficial,Moran Local (LISA),1.9603,0.005,True,Low-Low
UPZ,58,estrato_promedio_oficial,Moran Local (LISA),1.5917,0.001,True,Low-Low
UPZ,43,estrato_promedio_oficial,Moran Local (LISA),0.0204,0.363,False,No significativo
UPZ,47,estrato_promedio_oficial,Moran Local (LISA),-0.0572,0.234,False,No significativo
UPZ,36,estrato_promedio_oficial,Moran Local (LISA),-0.0155,0.424,False,No significativo
UPZ,66,estrato_promedio_oficial,Moran Local (LISA),0.8376,0.011,True,Low-Low
UPZ,57,estrato_promedio_oficial,Moran Local (LISA),1.3606,0.001,True,Low-Low
UPZ,52,estrato_promedio_oficial,Moran Local (LISA),1.9552,0.001,True,Low-Low
UPZ,11,estrato_promedio_oficial,Moran Local (LISA),-0.2479,0.11,False,No significativo
UPZ,14,estrato_promedio_oficial,Moran Local (LISA),3.7035,0.001,True,High-High
UPZ,73,estrato_promedio_oficial,Moran Local (LISA),0.0042,0.461,False,No significativo
UPZ,74,estrato_promedio_oficial,Moran Local (LISA),-0.073,0.409,False,No significativo
UPZ,104,estrato_promedio_oficial,Moran Local (LISA),0.8263,0.013,True,High-High
UPZ,31,estrato_promedio_oficial,Moran Local (LISA),0.155,0.203,False,No significativo
UPZ,68,estrato_promedio_oficial,Moran Local (LISA),1.7901,0.044,True,Low-Low
UPZ,64,estrato_promedio_oficial,Moran Local (LISA),1.8071,0.01,True,Low-Low
UPZ,71,estrato_promedio_oficial,Moran Local (LISA),0.1147,0.406,False,No significativo
UPZ,29,estrato_promedio_oficial,Moran Local (LISA),-0.0323,0.329,False,No significativo
UPZ,76,estrato_promedio_oficial,Moran Local (LISA),0.0592,0.448,False,No significativo
UPZ,3,estrato_promedio_oficial,Moran Local (LISA),3.8081,0.016,True,High-High
UPZ,80,estrato_promedio_oficial,Moran Local (LISA),0.2831,0.221,False,No significativo
UPZ,67,estrato_promedio_oficial,Moran Local (LISA),1.6649,0.003,True,Low-Low
UPZ,63,estrato_promedio_oficial,Moran Local (LISA),0.9554,0.001,True,Low-Low
UPZ,28,estrato_promedio_oficial,Moran Local (LISA),-0.1532,0.218,False,No significativo
UPZ,30,estrato_promedio_oficial,Moran Local (LISA),0.0232,0.355,False,No significativo
UPZ,116,estrato_promedio_oficial,Moran Local (LISA),0.0099,0.418,False,No significativo
UPZ,85,estrato_promedio_oficial,Moran Local (LISA),0.5447,0.019,True,Low-Low
UPZ,42,estrato_promedio_oficial,Moran Local (LISA),0.1265,0.158,False,No significativo
UPZ,111,estrato_promedio_oficial,Moran Local (LISA),0.0992,0.05,False,No significativo
UPZ,44,estrato_promedio_oficial,Moran Local (LISA),0.0001,0.367,False,No significativo
UPZ,41,estrato_promedio_oficial,Moran Local (LISA),0.0011,0.464,False,No significativo
UPZ,40,estrato_promedio_oficial,Moran Local (LISA),0.0165,0.383,False,No significativo
UPZ,34,estrato_promedio_oficial,Moran Local (LISA),0.1725,0.219,False,No significativo
UPZ,84,estrato_promedio_oficial,Moran Local (LISA),0.6952,0.008,True,Low-Low
UPZ,32,estrato_promedio_oficial,Moran Local (LISA),0.4984,0.079,False,No significativo
UPZ,95,estrato_promedio_oficial,Moran Local (LISA),0.1301,0.305,False,No significativo
UPZ,87,estrato_promedio_oficial,Moran Local (LISA),0.9474,0.029,True,Low-Low
UPZ,117,estrato_promedio_oficial,Moran Local (LISA),-0.0209,0.413,False,No significativo
UPZ,77,estrato_promedio_oficial,Moran Local (LISA),0.1182,0.365,False,No significativo
UPZ,54,estrato_promedio_oficial,Moran Local (LISA),0.7977,0.002,True,Low-Low
UPZ,39,estrato_promedio_oficial,Moran Local (LISA),-0.0193,0.42,False,No significativo
UPZ,62,estrato_promedio_oficial,Moran Local (LISA),0.621,0.002,True,Low-Low
UPZ,53,estrato_promedio_oficial,Moran Local (LISA),0.1891,0.178,False,No significativo
UPZ,69,estrato_promedio_oficial,Moran Local (LISA),1.0863,0.038,True,Low-Low
UPZ,1,estrato_promedio_oficial,Moran Local (LISA),1.0307,0.01,True,High-High
UPZ,46,estrato_promedio_oficial,Moran Local (LISA),0.0535,0.243,False,No significativo
UPZ,112,estrato_promedio_oficial,Moran Local (LISA),0.1302,0.217,False,No significativo
UPZ,25,estrato_promedio_oficial,Moran Local (LISA),0.7336,0.042,True,High-High
UPZ,97,estrato_promedio_oficial,Moran Local (LISA),3.1612,0.001,True,High-High
UPZ,98,estrato_promedio_oficial,Moran Local (LISA),0.2626,0.01,True,High-High
UPZ,96,estrato_promedio_oficial,Moran Local (LISA),0.4962,0.11,False,No significativo
UPZ,92,estrato_promedio_oficial,Moran Local (LISA),0.0559,0.371,False,No significativo
UPZ,94,estrato_promedio_oficial,Moran Local (LISA),0.187,0.19,False,No significativo
UPZ,78,estrato_promedio_oficial,Moran Local (LISA),0.2339,0.31,False,No significativo
UPZ,9,estrato_promedio_oficial,Moran Local (LISA),-0.378,0.022,True,Low-High
UPZ,113,estrato_promedio_oficial,Moran Local (LISA),0.038,0.363,False,No significativo
UPZ,81,estrato_promedio_oficial,Moran Local (LISA),0.3921,0.064,False,No significativo
UPZ,75,estrato_promedio_reportado,Moran Local (LISA),-0.0011,0.358,False,No significativo
UPZ,22,estrato_promedio_reportado,Moran Local (LISA),0.6072,0.043,True,High-High
UPZ,114,estrato_promedio_reportado,Moran Local (LISA),0.3993,0.109,False,No significativo
UPZ,103,estrato_promedio_reportado,Moran Local (LISA),-0.017,0.004,True,Low-High
UPZ,105,estrato_promedio_reportado,Moran Local (LISA),0.3711,0.094,False,No significativo
UPZ,88,estrato_promedio_reportado,Moran Local (LISA),3.1209,0.014,True,High-High
UPZ,27,estrato_promedio_reportado,Moran Local (LISA),-0.0027,0.321,False,No significativo
UPZ,99,estrato_promedio_reportado,Moran Local (LISA),0.7496,0.006,True,High-High
UPZ,109,estrato_promedio_reportado,Moran Local (LISA),0.3233,0.037,True,High-High
UPZ,90,estrato_promedio_reportado,Moran Local (LISA),0.8393,0.005,True,High-High
UPZ,33,estrato_promedio_reportado,Moran Local (LISA),0.4708,0.107,False,No significativo
UPZ,102,estrato_promedio_reportado,Moran Local (LISA),0.0383,0.17,False,No significativo
UPZ,45,estrato_promedio_reportado,Moran Local (LISA),0.0132,0.298,False,No significativo
UPZ,93,estrato_promedio_reportado,Moran Local (LISA),-0.0123,0.344,False,No significativo
UPZ,72,estrato_promedio_reportado,Moran Local (LISA),0.0368,0.333,False,No significativo
UPZ,15,estrato_promedio_reportado,Moran Local (LISA),3.3624,0.001,True,High-High
UPZ,16,estrato_promedio_reportado,Moran Local (LISA),4.1173,0.001,True,High-High
UPZ,21,estrato_promedio_reportado,Moran Local (LISA),1.9239,0.001,True,High-High
UPZ,89,estrato_promedio_reportado,Moran Local (LISA),0.0,0.001,True,High-Low
UPZ,106,estrato_promedio_reportado,Moran Local (LISA),1.137,0.035,True,High-High
UPZ,86,estrato_promedio_reportado,Moran Local (LISA),1.2289,0.017,True,Low-Low
UPZ,82,estrato_promedio_reportado,Moran Local (LISA),0.6545,0.051,False,No significativo
UPZ,37,estrato_promedio_reportado,Moran Local (LISA),0.0096,0.443,False,No significativo
UPZ,49,estrato_promedio_reportado,Moran Local (LISA),0.1479,0.044,True,Low-Low
UPZ,19,estrato_promedio_reportado,Moran Local (LISA),1.482,0.001,True,High-High
UPZ,24,estrato_promedio_reportado,Moran Local (LISA),1.0913,0.032,True,High-High
UPZ,23,estrato_promedio_reportado,Moran Local (LISA),0.6128,0.009,True,High-High
UPZ,110,estrato_promedio_reportado,Moran Local (LISA),0.6026,0.058,False,No significativo
