unidad,var_x,var_y,pearson_r,pearson_p,spearman_rho,spearman_p,n,spearman_p_fdr,sig_tras_fdr
UPZ,densidad_contenedores_km2,densidad_cuadrantes_km2,-0.035,0.71417,-0.071,0.45502,112,0.53532,False
UPZ,densidad_contenedores_km2,densidad_incidentes_km2,0.013,0.89056,0.038,0.69054,112,0.76023,False
UPZ,densidad_contenedores_km2,dist_estacion_bomberos_m,-0.111,0.24316,-0.113,0.23573,112,0.32893,False
UPZ,densidad_contenedores_km2,cobertura_macrorutas_pct,0.388,2e-05,0.237,0.01194,112,0.02388,True
UPZ,densidad_contenedores_km2,deficit_aseo_percapita,0.078,0.41931,-0.142,0.14102,109,0.20892,False
UPZ,densidad_contenedores_km2,cestas_por_1000hab,-0.113,0.24342,0.048,0.62199,109,0.70414,False
UPZ,densidad_contenedores_km2,contenedores_por_1000hab,0.463,0.0,0.853,0.0,109,0.0,True
UPZ,densidad_contenedores_km2,puntos_criticos_por_100milhab,-0.008,0.93421,0.105,0.27874,109,0.3664,False
UPZ,densidad_contenedores_km2,incidentes_por_100milhab,-0.08,0.40834,-0.24,0.01178,109,0.02388,True
UPZ,densidad_contenedores_km2,densidad_poblacional_hab_km2,0.328,0.00041,0.375,5e-05,112,0.00018,True
UPZ,densidad_puntos_criticos_km2,densidad_cuadrantes_km2,0.498,0.0,0.446,0.0,112,0.0,True
UPZ,densidad_puntos_criticos_km2,densidad_incidentes_km2,0.349,0.00016,0.261,0.00554,112,0.01254,True
UPZ,densidad_puntos_criticos_km2,dist_estacion_bomberos_m,-0.343,0.00021,-0.342,0.00022,112,0.00069,True
UPZ,densidad_puntos_criticos_km2,cobertura_macrorutas_pct,0.063,0.5084,0.104,0.27379,112,0.3664,False
UPZ,densidad_puntos_criticos_km2,deficit_aseo_percapita,0.196,0.04136,0.255,0.00743,109,0.01651,True
UPZ,densidad_puntos_criticos_km2,cestas_por_1000hab,-0.192,0.04508,-0.233,0.01462,109,0.02768,True
UPZ,densidad_puntos_criticos_km2,contenedores_por_1000hab,-0.144,0.13539,-0.01,0.91752,109,0.92523,False
UPZ,densidad_puntos_criticos_km2,puntos_criticos_por_100milhab,0.643,0.0,0.906,0.0,109,0.0,True
UPZ,densidad_puntos_criticos_km2,incidentes_por_100milhab,-0.102,0.28947,-0.247,0.00972,109,0.02046,True
UPZ,densidad_puntos_criticos_km2,densidad_poblacional_hab_km2,0.467,0.0,0.557,0.0,112,0.0,True
UPZ,densidad_cuadrantes_km2,densidad_incidentes_km2,0.677,0.0,0.494,0.0,112,0.0,True
UPZ,densidad_cuadrantes_km2,dist_estacion_bomberos_m,-0.328,0.00042,-0.311,0.00085,112,0.00237,True
UPZ,densidad_cuadrantes_km2,cobertura_macrorutas_pct,0.124,0.19128,0.18,0.05735,112,0.08938,False
UPZ,densidad_cuadrantes_km2,deficit_aseo_percapita,-0.0,0.99709,-0.055,0.57268,109,0.66078,False
UPZ,densidad_cuadrantes_km2,cestas_por_1000hab,0.004,0.96374,0.134,0.16558,109,0.23939,False
UPZ,densidad_cuadrantes_km2,contenedores_por_1000hab,-0.059,0.54377,-0.212,0.02694,109,0.04618,True
UPZ,densidad_cuadrantes_km2,puntos_criticos_por_100milhab,0.319,0.00071,0.384,4e-05,109,0.00015,True
UPZ,densidad_cuadrantes_km2,incidentes_por_100milhab,0.088,0.36485,0.104,0.28091,109,0.3664,False
UPZ,densidad_cuadrantes_km2,densidad_poblacional_hab_km2,0.159,0.09506,0.288,0.00204,112,0.00521,True
UPZ,densidad_incidentes_km2,dist_estacion_bomberos_m,-0.262,0.00521,-0.281,0.00271,112,0.0065,True
UPZ,densidad_incidentes_km2,cobertura_macrorutas_pct,0.302,0.00121,0.37,6e-05,112,0.00021,True
UPZ,densidad_incidentes_km2,deficit_aseo_percapita,-0.089,0.35916,-0.141,0.14447,109,0.21142,False
UPZ,densidad_incidentes_km2,cestas_por_1000hab,0.091,0.34421,0.189,0.04852,109,0.07868,False
UPZ,densidad_incidentes_km2,contenedores_por_1000hab,0.002,0.98168,-0.087,0.36962,109,0.45726,False
