localidad_id,localidad_nombre,crime_category,crime_count
08,KENNEDY,delitos_sexuales,2991.0
09,FONTIBON,violencia_intrafamiliar,7458.0
10,ENGATIVA,violencia_intrafamiliar,15720.0
11,SUBA,violencia_intrafamiliar,19848.0
15,ANTONIO NARINO,violencia_intrafamiliar,2041.0
06,TUNJUELITO,violencia_intrafamiliar,4020.0
18,RAFAEL URIBE URIBE,violencia_intrafamiliar,7548.0
17,CANDELARIA,violencia_intrafamiliar,1230.0
12,BARRIOS UNIDOS,violencia_intrafamiliar,3333.0
13,TEUSAQUILLO,violencia_intrafamiliar,2952.0
16,PUENTE ARANDA,violencia_intrafamiliar,6154.0
14,LOS MARTIRES,violencia_intrafamiliar,4282.0
20,SUMAPAZ,violencia_intrafamiliar,24.0
01,USAQUEN,violencia_intrafamiliar,7162.0
02,CHAPINERO,violencia_intrafamiliar,3308.0
03,SANTA FE,violencia_intrafamiliar,4368.0
04,SAN CRISTOBAL,violencia_intrafamiliar,10587.0
05,USME,violencia_intrafamiliar,9212.0
19,CIUDAD BOLIVAR,violencia_intrafamiliar,19372.0
07,BOSA,violencia_intrafamiliar,17961.0
08,KENNEDY,violencia_intrafamiliar,20001.0
