localidad_id,localidad_nombre,critical_points,critical_points_per_km2
09,FONTIBON,34,1.02
10,ENGATIVA,56,1.56
11,SUBA,42,0.42
15,ANTONIO NARINO,18,3.69
06,TUNJUELITO,10,1.01
18,RAFAEL URIBE URIBE,30,2.17
17,CANDELARIA,1,0.49
12,BARRIOS UNIDOS,17,1.43
13,TEUSAQUILLO,6,0.42
16,PUENTE ARANDA,9,0.52
14,LOS MARTIRES,19,2.92
20,SUMAPAZ,0,0.0
01,USAQUEN,7,0.11
02,CHAPINERO,7,0.18
03,SANTA FE,16,0.35
04,SAN CRISTOBAL,32,0.65
05,USME,10,0.05
19,CIUDAD BOLIVAR,38,0.29
07,BOSA,55,2.3
08,KENNEDY,71,1.84
