year,upz_id,upz_nombre,localidad_id,localidad_nombre,emergencies,emergencies_per_km2,fires,rescues,environmental_emergencies
2020,1,Paseo De Los Libertadores,01,USAQUEN,34,5.39,3,2,3
2016,46,Castilla,08,KENNEDY,421,83.73,36,41,0
2017,46,Castilla,08,KENNEDY,369,73.39,19,32,11
2018,46,Castilla,08,KENNEDY,372,73.99,18,65,20
2019,46,Castilla,08,KENNEDY,515,102.43,41,61,13
2020,46,Castilla,08,KENNEDY,281,55.89,24,59,13
2016,112,Granjas De Techo,09,FONTIBON,410,85.91,6,12,0
2017,112,Granjas De Techo,09,FONTIBON,456,95.55,16,17,12
2018,112,Granjas De Techo,09,FONTIBON,451,94.51,17,27,13
2019,112,Granjas De Techo,09,FONTIBON,441,92.41,11,34,5
2020,112,Granjas De Techo,09,FONTIBON,449,94.09,6,22,8
2016,25,La Floresta,11,SUBA,423,107.59,23,34,0
2017,25,La Floresta,11,SUBA,409,104.03,20,46,44
2018,25,La Floresta,11,SUBA,244,62.06,7,32,16
2019,25,La Floresta,11,SUBA,229,58.25,18,29,25
2020,25,La Floresta,11,SUBA,103,26.2,6,15,5
2016,97,Chico Lago,02,CHAPINERO,462,109.45,39,17,0
2017,97,Chico Lago,02,CHAPINERO,444,105.19,33,17,25
2018,97,Chico Lago,02,CHAPINERO,690,163.46,31,88,63
2019,97,Chico Lago,02,CHAPINERO,703,166.54,37,88,76
2020,97,Chico Lago,02,CHAPINERO,322,76.28,19,44,40
2016,98,Los Alcazares,12,BARRIOS UNIDOS,848,204.98,35,47,0
2017,98,Los Alcazares,12,BARRIOS UNIDOS,743,179.6,31,75,91
2018,98,Los Alcazares,12,BARRIOS UNIDOS,425,102.73,28,45,29
2019,98,Los Alcazares,12,BARRIOS UNIDOS,364,87.99,24,55,16
2020,98,Los Alcazares,12,BARRIOS UNIDOS,231,55.84,13,28,5
2018,96,Lourdes,03,SANTA FE,214,107.01,17,10,19
2019,96,Lourdes,03,SANTA FE,264,132.01,21,18,19
2020,96,Lourdes,03,SANTA FE,211,105.51,19,12,5
2016,92,La Macarena,03,SANTA FE,214,249.33,15,30,0
2017,92,La Macarena,03,SANTA FE,180,209.72,16,14,10
2018,92,La Macarena,03,SANTA FE,225,262.15,6,10,21
2019,92,La Macarena,03,SANTA FE,206,240.01,10,19,17
2020,92,La Macarena,03,SANTA FE,110,128.16,6,12,10
2016,94,La Candelaria,17,CANDELARIA,412,200.14,27,50,0
2017,94,La Candelaria,17,CANDELARIA,426,206.94,39,61,3
2018,94,La Candelaria,17,CANDELARIA,593,288.06,28,43,28
2019,94,La Candelaria,17,CANDELARIA,686,333.24,23,47,22
2020,94,La Candelaria,17,CANDELARIA,221,107.35,12,16,6
2016,78,Tintal Norte,08,KENNEDY,73,21.28,9,3,0
2017,78,Tintal Norte,08,KENNEDY,87,25.36,2,7,7
2018,78,Tintal Norte,08,KENNEDY,61,17.78,5,8,2
2019,78,Tintal Norte,08,KENNEDY,122,35.56,17,19,0
2020,78,Tintal Norte,08,KENNEDY,50,14.57,5,5,2
2018,9,Verbenal,01,USAQUEN,280,78.76,23,30,12
2019,9,Verbenal,01,USAQUEN,313,88.05,19,43,23
2020,9,Verbenal,01,USAQUEN,200,56.26,13,25,23
2016,113,Bavaria,08,KENNEDY,252,90.97,7,11,0
2017,113,Bavaria,08,KENNEDY,280,101.08,7,13,6
2018,113,Bavaria,08,KENNEDY,221,79.78,12,19,8
2019,113,Bavaria,08,KENNEDY,152,54.87,6,21,7
2020,113,Bavaria,08,KENNEDY,100,36.1,3,18,2
2016,81,Gran Britalia,08,KENNEDY,141,78.44,16,13,0
2017,81,Gran Britalia,08,KENNEDY,140,77.88,11,17,0
2018,81,Gran Britalia,08,KENNEDY,183,101.8,15,33,8
2019,81,Gran Britalia,08,KENNEDY,120,66.76,9,25,6
2020,81,Gran Britalia,08,KENNEDY,86,47.84,2,15,3
