unidad,var_x,var_y,pearson_r,pearson_p,spearman_rho,spearman_p,n,spearman_p_fdr,sig_tras_fdr
Localidad,estrato_promedio_reportado,densidad_cestas_km2,0.487,0.02925,0.564,0.00961,20,0.01647,True
Localidad,estrato_promedio_reportado,densidad_puntos_criticos_km2,-0.058,0.80647,0.014,0.95482,20,0.95482,False
Localidad,estrato_promedio_reportado,densidad_cuadrantes_km2,0.121,0.61071,0.156,0.51216,20,0.57618,False
Localidad,estrato_promedio_reportado,densidad_homicidios_km2,-0.167,0.48038,-0.245,0.2976,20,0.35712,False
Localidad,estrato_promedio_reportado,densidad_incidentes_km2,0.432,0.05697,0.46,0.0412,20,0.05933,False
Localidad,estrato_promedio_reportado,dist_estacion_bomberos_m,-0.459,0.0418,-0.223,0.34562,20,0.40137,False
Localidad,deficit_aseo_relativo,densidad_cestas_km2,-0.99,0.0,-0.995,0.0,20,0.0,True
Localidad,deficit_aseo_relativo,densidad_puntos_criticos_km2,-0.643,0.00224,-0.666,0.00133,20,0.00342,True
Localidad,deficit_aseo_relativo,densidad_cuadrantes_km2,-0.408,0.07421,-0.693,0.0007,20,0.00194,True
Localidad,deficit_aseo_relativo,densidad_homicidios_km2,-0.442,0.05129,-0.436,0.05458,20,0.07277,False
Localidad,deficit_aseo_relativo,densidad_incidentes_km2,-0.84,0.0,-0.842,0.0,20,0.0,True
Localidad,deficit_aseo_relativo,dist_estacion_bomberos_m,0.421,0.06434,0.523,0.01789,20,0.028,True
Localidad,densidad_cestas_km2,densidad_puntos_criticos_km2,0.621,0.00348,0.66,0.00153,20,0.00367,True
Localidad,densidad_cestas_km2,densidad_cuadrantes_km2,0.41,0.07258,0.718,0.00037,20,0.00133,True
Localidad,densidad_cestas_km2,densidad_homicidios_km2,0.425,0.06195,0.453,0.04508,20,0.06242,False
Localidad,densidad_cestas_km2,densidad_incidentes_km2,0.823,1e-05,0.835,0.0,20,0.0,True
Localidad,densidad_cestas_km2,dist_estacion_bomberos_m,-0.392,0.08744,-0.525,0.01751,20,0.028,True
Localidad,densidad_puntos_criticos_km2,densidad_cuadrantes_km2,0.348,0.13278,0.76,0.0001,20,0.00045,True
Localidad,densidad_puntos_criticos_km2,densidad_homicidios_km2,0.744,0.00017,0.827,1e-05,20,6e-05,True
Localidad,densidad_puntos_criticos_km2,densidad_incidentes_km2,0.657,0.00166,0.629,0.00298,20,0.0067,True
Localidad,densidad_puntos_criticos_km2,dist_estacion_bomberos_m,-0.345,0.13627,-0.727,0.00029,20,0.00116,True
Localidad,densidad_cuadrantes_km2,densidad_homicidios_km2,0.343,0.13871,0.775,6e-05,20,0.00031,True
Localidad,densidad_cuadrantes_km2,densidad_incidentes_km2,0.67,0.00122,0.854,0.0,20,0.0,True
Localidad,densidad_cuadrantes_km2,dist_estacion_bomberos_m,-0.311,0.18243,-0.711,0.00044,20,0.00138,True
Localidad,densidad_homicidios_km2,densidad_incidentes_km2,0.352,0.12824,0.505,0.02306,20,0.03459,True
Localidad,densidad_homicidios_km2,dist_estacion_bomberos_m,-0.312,0.17995,-0.602,0.00502,20,0.01063,True
Localidad,densidad_incidentes_km2,dist_estacion_bomberos_m,-0.537,0.01464,-0.71,0.00046,20,0.00138,True
